Compound 1;Compound 2;Compound 3;Molar Fraction 1;Molar Fraction 2;Molar Fraction 3;Property;Property Name;Standard Deviation Viscosity;Parameter;Type;Storage;Comment
Betaine;Glycerol;Water;0,14;0,28;0,58;63,24;Viscosity;1,968734;14;Time;closed;Bet-Gly (1:2)_20% H2O
Betaine;Glycerol;Water;0,14;0,28;0,58;60,48;Viscosity;0,617788;38;Time;closed;Bet-Gly (1:2)_20% H2O
Betaine;Glycerol;Water;0,14;0,28;0,58;60,58;Viscosity;0,34611;7;Time;fridge;Bet-Gly (1:2)_20% H2O
Betaine;Glycerol;Water;0,14;0,28;0,58;61,2;Viscosity;0,594528;14;Time;fridge;Bet-Gly (1:2)_20% H2O
Betaine;Glycerol;Water;0,14;0,28;0,58;61,07;Viscosity;0,519377;38;Time;fridge;Bet-Gly (1:2)_20% H2O
Betaine;Glycerol;Water;0,14;0,28;0,58;62,93;Viscosity;1,585408;7;Time;open;Bet-Gly (1:2)_20% H2O
Betaine;Glycerol;Water;0,14;0,28;0,58;63,76;Viscosity;0,972504;14;Time;open;Bet-Gly (1:2)_20% H2O
Betaine;Glycerol;Water;0,14;0,28;0,58;68,09;Viscosity;0,521491;40;Time;open;Bet-Gly (1:2)_20% H2O
Betaine;Glycerol;Water;0,14;0,28;0,58;49,42268;Polarity;0,06041;0;Time;none;Bet-Gly (1:2)_20% H2O
Betaine;Glycerol;Water;0,14;0,28;0,58;50,47053;Polarity;0,314987;7;Time;closed;Bet-Gly (1:2)_20% H2O
Betaine;Glycerol;Water;0,14;0,28;0,58;51,23983;Polarity;0,389592;14;Time;closed;Bet-Gly (1:2)_20% H2O
Betaine;Glycerol;Water;0,14;0,28;0,58;51,46899;Polarity;0,065516;38;Time;closed;Bet-Gly (1:2)_20% H2O
Betaine;Glycerol;Water;0,14;0,28;0,58;49,30201;Polarity;0,841491;7;Time;fridge;Bet-Gly (1:2)_20% H2O
Betaine;Glycerol;Water;0,14;0,28;0,58;51,00985;Polarity;0,064352;14;Time;fridge;Bet-Gly (1:2)_20% H2O
Betaine;Glycerol;Water;0,14;0,28;0,58;50,6939;Polarity;0,254227;39;Time;fridge;Bet-Gly (1:2)_20% H2O
Betaine;Glycerol;Water;0,14;0,28;0,58;50,88156;Polarity;0,896266;7;Time;open;Bet-Gly (1:2)_20% H2O
Betaine;Glycerol;Water;0,14;0,28;0,58;50,96435;Polarity;0;14;Time;open;Bet-Gly (1:2)_20% H2O
Betaine;Glycerol;Water;0,14;0,28;0,58;51,14931;Polarity;0,51761;40;Time;open;Bet-Gly (1:2)_20% H2O
Betaine;Glycerol;Water;0,071;0,143;0,786;10,68;Viscosity;0,561776;0;Time;none;Bet-Gly (1:2)_40% H2O
Betaine;Glycerol;Water;0,071;0,143;0,786;10,44;Viscosity;0,696338;7;Time;closed;Bet-Gly (1:2)_40% H2O
Betaine;Glycerol;Water;0,071;0,143;0,786;10,18;Viscosity;0,076511;14;Time;closed;Bet-Gly (1:2)_40% H2O
Betaine;Glycerol;Water;0,071;0,143;0,786;9,73;Viscosity;0,143778;38;Time;closed;Bet-Gly (1:2)_40% H2O
Betaine;Glycerol;Water;0,071;0,143;0,786;9,79;Viscosity;0,095459;7;Time;fridge;Bet-Gly (1:2)_40% H2O
Betaine;Glycerol;Water;0,071;0,143;0,786;9,93;Viscosity;0,012756;14;Time;fridge;Bet-Gly (1:2)_40% H2O
Betaine;Glycerol;Water;0,071;0,143;0,786;9,59;Viscosity;0,164876;38;Time;fridge;Bet-Gly (1:2)_40% H2O
