Error(cP),Viscosity(cP),molar ratio of DES (mol/mol),mole fraction of water (mol/mol),temperature (K),DOI
2.98,149,0.5,0,310.65,10.1016/j.jct.2018.07.031
2.6,130,0.5,0,313.15,10.1016/j.jct.2018.07.031
2.276,113.8,0.5,0,315.65,10.1016/j.jct.2018.07.031
2,100,0.5,0,318.15,10.1016/j.jct.2018.07.031
1.7686,88.43,0.5,0,320.65,10.1016/j.jct.2018.07.031
1.5678,78.39,0.5,0,323.15,10.1016/j.jct.2018.07.031
1.3892,69.46,0.5,0,325.65,10.1016/j.jct.2018.07.031
1.2412,62.06,0.5,0,328.15,10.1016/j.jct.2018.07.031
1.1126,55.63,0.5,0,330.65,10.1016/j.jct.2018.07.031
1.001,50.05,0.5,0,333.15,10.1016/j.jct.2018.07.031
0.9038,45.19,0.5,0,335.65,10.1016/j.jct.2018.07.031
0.8188,40.94,0.5,0,338.15,10.1016/j.jct.2018.07.031
NG,337.764,0.5,0,297.831,10.1016/j.molliq.2015.11.032
NG,253.648,0.5,0,302.771,10.1016/j.molliq.2015.11.032
NG,189.501,0.5,0,307.855,10.1016/j.molliq.2015.11.032
NG,155.27,0.5,0,312.866,10.1016/j.molliq.2015.11.032
NG,121.029,0.5,0,317.804,10.1016/j.molliq.2015.11.032
NG,91.795,0.5,0,322.888,10.1016/j.molliq.2015.11.032
NG,72.517,0.5,0,327.826,10.1016/j.molliq.2015.11.032
NG,58.245,0.5,0,332.908,10.1016/j.molliq.2015.11.032
NG,48.952,0.5,0,337.919,10.1016/j.molliq.2015.11.032
NG,44.656,0.5,0,343.001,10.1016/j.molliq.2015.11.032
NG,40.35,0.5,0,348.011,10.1016/j.molliq.2015.11.032
NG,31.056,0.5,0,353.021,10.1016/j.molliq.2015.11.032
NG,998,0.052631579,0,293.15,10.1021/jp0671998
NG,790,0.111111111,0,293.15,10.1021/jp0671998
NG,548,0.176470588,0,293.15,10.1021/jp0671998
NG,503,0.25,0,293.15,10.1021/jp0671998
NG,450,0.333333333,0,293.15,10.1021/jp0671998
